Date,League,Home Team,Away Team,Predcition Score,Prediction Type,Confidence Level(%),Outcome,Source,,,,,,,,,,,,,,,,,,
,Serie A,,,0-0,Draw,,2-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,0-0,Draw,,2-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,0-0,Draw,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,0-0,Draw,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,0-0,Draw,,0-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,0-0,Draw,,3-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-0,Draw,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-0,Draw,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-0,Draw,,3-4,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-0,Draw,,0-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-0,Draw,,2-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,0-0,Draw,,2-0,whoscored.com,,,,,,,,,,,,,,,,,,
,La Liga,,,0-1,Away win,,2-3,whoscored.com,,,,,,,,,,,,,,,,,,
,La Liga,,,0-1,Away win,,0-0,whoscored.com,,,,,,,,,,,,,,,,,,
,La Liga,,,0-1,Away win,,0-0,whoscored.com,,,,,,,,,,,,,,,,,,
,La Liga,,,0-1,Away win,,2-2,whoscored.com,,,,,,,,,,,,,,,,,,
,La Liga,,,0-1,Away win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,La Liga,,,0-1,Away win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,La Liga,,,0-1,Away win,,0-1,whoscored.com,,,,,,,,,,,,,,,,,,
,La Liga,,,0-1,Away win,,2-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,0-1,Away win,,5-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,0-1,Away win,,3-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,0-1,Away win,,3-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,0-1,Away win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-1,Away win,,1-2,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-1,Away win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-1,Away win,,2-2,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-1,Away win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-1,Away win,,3-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-1,Away win,,2-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-1,Away win,,0-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,0-1,Away win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,0-1,Away win,,1-3,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga 2,,,0-1,Away win,,2-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-2,Away win,,1-3,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-2,Away win,,0-4,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-2,Away win,,1-4,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-2,Away win,,1-2,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-2,Away win,,1-2,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-2,Away win,,2-1,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-2,Away win,,2-1,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-2,Away win,,2-1,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-2,Away win,,0-1,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-2,Away win,,0-2,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,0-2,Away win,,0-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,0-2,Away win,,0-1,whoscored.com,,,,,,,,,,,,,,,,,,
